date,Close,Sightings
1/3/1995,424.53,91
2/1/1995,401.88,120
3/1/1995,448.82,122
4/3/1995,442.11,85
5/1/1995,449.1,98
6/1/1995,458.89,161
7/3/1995,504.78,126
8/1/1995,488.55,186
9/1/1995,518.77,127
10/2/1995,495.13,107
11/1/1995,530.78,116
12/1/1995,529.65,54
1/2/1996,518.89,57
2/1/1996,528.08,73
3/1/1996,550.11,62
4/1/1996,605.76,101
5/1/1996,582.86,75
6/3/1996,552.43,135
7/1/1996,538.51,78
8/1/1996,552.43,72
9/3/1996,573.4,69
10/1/1996,575.74,52
11/1/1996,586.58,84
12/2/1996,548.78,82
1/2/1997,533.26,51
2/3/1997,549.37,47
3/3/1997,577.59,185
4/1/1997,586.58,90
5/1/1997,628.84,104
6/2/1997,627.34,171
7/1/1997,592.57,208
8/1/1997,583.28,124
9/2/1997,599.83,56
10/1/1997,465.09,108
11/3/1997,433,120
12/1/1997,453.59,73
1/2/1998,473.57,79
2/2/1998,496.58,85
3/2/1998,498.27,140
4/1/1998,533.37,126
5/1/1998,475.59,100
6/1/1998,419.37,199
7/1/1998,427.44,183
8/3/1998,362.83,164
9/1/1998,443.85,243
10/1/1998,458.72,225
11/2/1998,449.23,108
12/1/1998,442.27,189
1/4/1999,463.15,142
2/1/1999,511.56,173
3/1/1999,561.81,156
4/1/1999,709.53,165
5/3/1999,598.09,187
6/1/1999,695.15,267
7/1/1999,765.09,297
8/2/1999,739.69,308
9/1/1999,695.45,39
10/1/1999,687.52,307
11/1/1999,812.34,444
12/1/1999,987.36,224
1/3/2000,763.47,229
2/1/2000,619.49,197
3/1/2000,716.25,222
4/3/2000,677.12,192
5/1/2000,671.68,185
6/1/2000,734.96,266
7/3/2000,729.52,352
8/1/2000,758.22,294
9/1/2000,676.81,29
10/2/2000,769.26,323
11/1/2000,727.87,228
12/1/2000,812.73,228
1/2/2001,822.39,281
2/1/2001,879.65,227
3/1/2001,866.13,284
4/2/2001,1001.17,231
5/1/2001,993.4,248
6/1/2001,892.29,298
7/2/2001,834.31,401
8/1/2001,889.47,394
9/4/2001,767.53,337
10/1/2001,800.52,252
11/1/2001,943.27,275
12/3/2001,943.99,207
1/2/2002,997.07,236
2/1/2002,1020.02,254
3/1/2002,1018.77,194
4/1/2002,935.83,188
5/1/2002,955.65,249
6/3/2002,882.98,334
7/1/2002,807.38,426
8/1/2002,850.29,483
9/3/2002,766.31,371
10/1/2002,866.03,330
11/1/2002,976.26,296
12/2/2002,929.77,247
1/2/2003,833.79,325
2/3/2003,963.51,264
3/3/2003,904.56,187
4/1/2003,912.96,224
5/1/2003,912.96,244
6/2/2003,870.21,295
7/1/2003,984.72,445
8/1/2003,1080.23,534
9/2/2003,996.36,504
10/1/2003,1109.74,469
11/3/2003,1078.67,464
12/1/2003,1198.27,381
1/2/2004,1133.81,304
2/2/2004,1119.06,296
3/1/2004,1059.44,413
4/1/2004,976.55,386
5/3/2004,1037.34,384
6/1/2004,1046.81,418
7/1/2004,1131.28,431
8/2/2004,1105.55,537
9/1/2004,1191.33,409
10/1/2004,1141.63,445
11/1/2004,1229.01,332
12/1/2004,1229.01,302
1/3/2005,1322.81,254
2/1/2005,1495.49,279
3/1/2005,1394.43,355
4/1/2005,1288.48,309
5/2/2005,1330.05,291
6/1/2005,1391.98,384
7/1/2005,1545.2,445
8/1/2005,1617.34,339
9/1/2005,1913.72,529
10/3/2005,1778.33,484
11/1/2005,1931.89,459
12/1/2005,2191.95,277
1/3/2006,2366.97,251
2/1/2006,2234.15,229
3/1/2006,2435.89,306
4/3/2006,2514.25,320
5/1/2006,2470.07,294
6/1/2006,2383.37,324
7/3/2006,2305.01,413
8/1/2006,2236.06,420
9/1/2006,2126.65,315
10/2/2006,2433.83,394
11/1/2006,2284.87,407
12/1/2006,2287.39,378
1/3/2007,2284.87,438
2/1/2007,2302.54,261
3/1/2007,2478.62,358
4/2/2007,2624.68,318
5/1/2007,3134.58,305
6/1/2007,3268.68,404
7/2/2007,3079.92,446
8/1/2007,2957.61,461
9/4/2007,3645.71,445
10/1/2007,3871.63,444
11/1/2007,4863.25,370
12/3/2007,4584.73,353
1/2/2008,4273.45,464
2/1/2008,4976.64,367
3/3/2008,4552.93,333
4/1/2008,5142.82,439
5/1/2008,5268.11,334
6/2/2008,5228.08,452
7/1/2008,4646.03,555
8/1/2008,4549.45,494
9/2/2008,3047.6,379
10/1/2008,2514.65,517
11/3/2008,1411.85,446
12/1/2008,1308.25,343
1/2/2009,1322.3,492
2/2/2009,1629.44,386
3/2/2009,2126.15,333
4/1/2009,2509.76,309
5/1/2009,2533.28,349
6/1/2009,1904.49,368
7/1/2009,2251.91,587
8/3/2009,2183.6,475
9/1/2009,2414.31,588
10/1/2009,2436.47,297
11/2/2009,2793.85,309
12/1/2009,3067.08,274
1/4/2010,2803.8,257
2/1/2010,3069.76,173
3/1/2010,3563.44,245
4/1/2010,3083.45,271
5/3/2010,2910.07,292
6/1/2010,2708.85,332
7/1/2010,3015.46,765
8/2/2010,3036.64,410